GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
incidencias-service,com.conecta.incidencias.mapper,IncidenciaMapper,9,0,0,0,3,0,3,0,3,0
incidencias-service,com.conecta.incidencias.mapper,UsuarioMapperImpl,4,62,2,2,2,16,2,3,0,3
incidencias-service,com.conecta.incidencias.mapper,HistorialEstadoMapper,7,0,2,0,1,0,2,0,1,0
incidencias-service,com.conecta.incidencias.mapper,ArchivoMapperImpl,4,57,2,2,2,15,2,3,0,3
incidencias-service,com.conecta.incidencias.mapper,HistorialEstadoMapperImpl,2,35,1,1,1,9,1,2,0,2
incidencias-service,com.conecta.incidencias.mapper,ComuneroMapperImpl,4,82,2,2,2,20,2,3,0,3
incidencias-service,com.conecta.incidencias.mapper,OperadorMapperImpl,4,62,2,2,2,16,2,3,0,3
incidencias-service,com.conecta.incidencias.mapper,IncidenciaMapperImpl,22,174,11,15,11,48,11,9,0,7
incidencias-service,com.conecta.incidencias.mapper,CategoriaMapperImpl,4,42,2,2,2,12,2,3,0,3
incidencias-service,com.conecta.incidencias.enums,TipoArchivo,0,15,0,0,0,3,0,1,0,1
incidencias-service,com.conecta.incidencias.enums,RolUsuario,0,15,0,0,0,3,0,1,0,1
incidencias-service,com.conecta.incidencias.enums,Estado,0,27,0,0,0,5,0,1,0,1
incidencias-service,com.conecta.incidencias.enums,Impacto,0,21,0,0,0,4,0,1,0,1
incidencias-service,com.conecta.incidencias.enums,Urgencia,0,21,0,0,0,4,0,1,0,1
incidencias-service,com.conecta.incidencias.controller,CategoriaController,0,25,0,0,0,6,0,5,0,5
incidencias-service,com.conecta.incidencias.controller,HistorialEstadoController,0,12,0,0,0,2,0,2,0,2
incidencias-service,com.conecta.incidencias.controller,ComuneroController,0,16,0,0,0,3,0,3,0,3
incidencias-service,com.conecta.incidencias.controller,IncidenciaController,0,30,0,0,0,6,0,5,0,5
incidencias-service,com.conecta.incidencias.controller,ArchivoController,0,15,0,0,0,4,0,3,0,3
incidencias-service,com.conecta.incidencias.controller,UsuarioController,0,16,0,0,0,3,0,3,0,3
incidencias-service,com.conecta.incidencias.controller,AuthController,0,5,0,0,0,1,0,1,0,1
incidencias-service,com.conecta.incidencias.controller,OperadorController,0,16,0,0,0,3,0,3,0,3
incidencias-service,com.conecta.incidencias.security,UserDetailsServiceImpl,35,0,0,0,7,0,2,0,2,0
incidencias-service,com.conecta.incidencias.security,JwtAuthenticationFilter,0,63,4,6,0,16,4,2,0,1
incidencias-service,com.conecta.incidencias.security,JwtUtils,1,80,2,2,0,19,2,8,0,8
incidencias-service,com.conecta.incidencias.security,SecurityConfig,0,76,0,0,0,16,0,7,0,7
incidencias-service,com.conecta.incidencias.security,AuthenticationService,27,0,0,0,6,0,1,0,1,0
incidencias-service,com.conecta.incidencias.application.impl,ComuneroServiceImpl,15,112,0,0,0,24,3,4,3,4
incidencias-service,com.conecta.incidencias.application.impl,OperadorServiceImpl,5,80,0,0,0,16,1,4,1,4
incidencias-service,com.conecta.incidencias.application.impl,UsuarioServiceImpl,0,69,0,0,0,13,0,4,0,4
incidencias-service,com.conecta.incidencias.application.impl,IncidenciaServiceImpl,56,165,1,1,7,38,8,6,7,6
incidencias-service,com.conecta.incidencias.application.impl,CategoriaServiceImpl,0,80,0,0,0,17,0,6,0,6
incidencias-service,com.conecta.incidencias.application.impl,HistorialEstadoServiceImpl,5,75,0,0,0,20,1,3,1,3
incidencias-service,com.conecta.incidencias.application.impl,ArchivoServiceImpl,0,33,0,0,0,8,0,3,0,3
